Wissenschaftlicher Name;Trivialname;Klasse;Ordnung;Familie;TaxonId
Canis lupus;Wolf;Mammalia;Carnivora;Canidae;42048
Cantharis fusca;Gewöhnlicher Weichkäfer;Insecta;Coleoptera;Cantharidae;61449
Carabus coriaceus;Lederlaufkäfer;Insecta;Coleoptera;Carabidae;360830
Carassius gibelio;Giebel;Pisces;Cypriniformes;Cyprinidae;424997
Castor fiber;Europäischer Biber;Mammalia;Rodentia;Castoridae;43793
Centrotus cornutus;Dornzikade;Insecta;Hemiptera;Membracidae;362433
Cepaea hortensis;Gartenbänderschnecke;Gastropoda;Pulmonata;Helicidae;51039
Cepaea nemoralis;Hainbänderschnecke;Gastropoda;Pulmonata;Helicidae;48586
Cercopis vulnerata;Gemeine Blutzikade;Insecta;Hemiptera;Cercopidae;61862
Ceropales maculata;Gefleckte Kuckuckswegwespe;Insecta;Hymenoptera;Pompilidae;508078
Chelifer cancroides;Bücherskorpion;Chelicerata;Pseudoscorpiones;Cheliferidae;409775
Chionomys nivalis;Schneemaus;Mammalia;Rodentia;Cricetidae;45459
Chrysomela populi;Großer Pappelblattkäfer;Insecta;Coleoptera;Chrysomelidae;416809
Chrysopa perla;Blaugrüne Florfliege;Insecta;Neuroptera;Chrysopidae;52424
Cicadella viridis;Binsen-Schmuckzikade;Insecta;Hemiptera;Cicadellidae;52447
Cicadetta montana;Echte Bergzikade;Insecta;Hemiptera;Cicadidae;362341
Cicindela campestris;Feld-Sandlaufkäfer;Insecta;Coleoptera;Cicindelidae;130143
Cimex lectularius;Bettwanze;Insecta;Hemiptera;Cimicidae;69658
Clitellaria ephippium;;Insecta;Diptera;Stratiomyidae;337778
Clogmia albipunctata;Weißpunktierte Schmetterlingsmücke;Insecta;Diptera;Psychodidae;258813
Clytus arietis;Echter Widderbock;Insecta;Coleoptera;Cerambycidae;124540
Coccinella septempunctata;Siebenpunkt;Insecta;Coleoptera;Coccinellidae;51702
Colias palaeno;Hochmoor-Gelbling;Insecta;Lepidoptera;Pieridae;217396
Colletes hederae;Efeu-Seidenbiene;Insecta;Hymenoptera;Colletidae;433481
Columba palumbus;Ringeltaube;Aves;Columbiformes;Columbidae;3048
Coronella austriaca;Schlingnatter;Reptilia;Squamata;Colubridae;26904
Corvus corax;Kolkrabe;Aves;Passeriformes;Corvidae;8010
Corythucha ciliata;Platanen-Netzwanze;Insecta;Hemiptera;Tingidae;333813
Cottus gobio;Koppe;Pisces;Perciformes;Cottidae;47635
Crenobia alpina;Alpenstrudelwurm;Turbellaria;Tricladida;Planariidae;484014
Cryphalus abietis;Gekörnter Fichtenborkenkäfer;Insecta;Coleoptera;Curculionidae;989522
Cryptops parisi;;Chilopoda;Scolopendromorpha;Cryptopidae;336909
Ctenolepisma longicaudatum;Papierfischchen;Insecta;Zygentoma;Lepismatidae;546132
Cuculus canorus;Kuckuck;Aves;Cuculiformes;Cuculidae;1907
Culiseta annulata;Ringelmücke;Insecta;Diptera;Culicidae;155395
Cychrus caraboides;Gewöhnlicher Schaufelläufer;Insecta;Coleoptera;Carabidae;58462
